,"2016","2016"
,"Mean BMI (kg/m&#xb2;) (age-standardized estimate)","Mean BMI (kg/m&#xb2;) (age-standardized estimate)"
,"18+  years","18+  years"
"Countries, territories and areas","Male","Female"
"Afghanistan","22.6 [20.1-25.1]","24.1 [23.0-25.3]"
"Albania","27.0 [25.8-28.2]","26.3 [25.0-27.6]"
"Algeria","24.7 [23.4-26.1]","26.4 [24.9-27.8]"
"Andorra","27.3 [24.8-29.8]","26.1 [22.8-29.5]"
"Angola","22.3 [19.7-25.0]","24.3 [20.9-27.7]"
"Antigua and Barbuda","25.7 [23.2-28.2]","27.7 [24.4-31.0]"
"Argentina","27.8 [26.6-29.0]","27.6 [26.3-28.8]"
"Armenia","25.6 [24.8-26.3]","27.0 [26.1-27.8]"
"Australia","27.6 [26.9-28.2]","26.7 [26.0-27.4]"
"Austria","26.5 [24.8-28.2]","24.6 [22.6-26.5]"
"Azerbaijan","26.1 [24.7-27.5]","27.9 [26.3-29.4]"
"Bahamas","27.1 [24.7-29.7]","28.8 [25.4-32.1]"
"Bahrain","24.8 [23.4-26.2]","24.8 [23.2-26.2]"
"Bangladesh","21.3 [20.7-21.9]","22.0 [21.4-22.6]"
"Barbados","26.4 [25.3-27.4]","29.2 [28.1-30.4]"
"Belarus","26.4 [25.7-27.2]","26.6 [25.8-27.5]"
"Belgium","26.6 [25.9-27.3]","25.6 [24.8-26.4]"
"Belize","27.5 [26.0-29.1]","30.5 [28.9-32.2]"
"Benin","22.6 [21.4-23.8]","24.5 [23.5-25.4]"
"Bhutan","23.5 [22.7-24.2]","24.5 [23.6-25.4]"
"Bolivia","25.3 [23.6-26.9]","27.7 [26.4-29.1]"
"Bosnia and Herzegovina","26.4 [25.3-27.5]","25.1 [23.8-26.4]"
"Botswana","22.5 [21.7-23.3]","26.1 [25.2-27.0]"
"Brazil","26.3 [25.7-26.9]","26.8 [26.2-27.5]"
"Brunei Darussalam","27.2 [26.5-27.8]","27.2 [26.4-27.9]"
"Bulgaria","27.1 [25.7-28.6]","25.7 [24.0-27.3]"
"Burkina Faso","22.2 [21.4-23.1]","22.1 [21.3-22.9]"
"Burundi","21.8 [19.3-24.2]","21.6 [20.3-22.9]"
"Cote d'Ivoire","23.4 [22.0-24.7]","24.2 [23.1-25.2]"
"Cabo Verde","23.7 [22.4-25.0]","25.3 [23.8-26.8]"
"Cambodia","22.1 [21.0-23.1]","22.3 [21.6-23.1]"
"Cameroon","23.6 [22.0-25.1]","25.1 [24.2-26.0]"
