country,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
India,-0.20356,-0.8707,-0.19172,0.73862,0.18494,0.14926,0.48079,-0.21633,0.72753,-0.36912,0.13397,-0.1143,-0.18075,-0.64683,-0.18484,0.83575,0.48179,0.76026,-0.50381,0.80743,1.2195,0.3459,0.22185,0.31335,1.2066,-1.8441,0.14064,-0.99715,-1.1402,0.32342,3.2128,0.42708,0.19504,0.80113,0.38555,-0.12568,-0.26533,0.055264,-1.1557,0.16836,-0.82228,0.20394,0.089235,-0.60125,-0.032878,1.3735,-0.51661,0.29611,0.23951,-1.3801
China,-0.22427,0.27427,0.054742,1.4692,0.061821,-0.51894,0.45027,-0.32164,0.57876,-0.049142,0.52523,-0.18784,0.52539,-0.058431,0.19741,0.30754,-0.45412,0.38268,0.33441,0.42801,0.98406,-0.7637,-0.066755,-1.0027,1.1942,-2.3916,0.24326,-0.40705,-0.63413,-0.20832,3.8851,0.75046,0.14857,0.24485,-1.0143,-0.76356,-0.63824,0.73037,-1.2025,0.18932,-1.2139,-0.55377,1.3033,-0.82461,0.9965,0.15117,-0.65753,0.28569,0.45374,-0.85646
USA,-1.256,0.67149,0.1418,1.5068,-0.54231,-0.014556,-1.0648,-0.60224,0.55127,-0.67244,0.39114,-0.55533,-0.54794,-0.37832,0.35629,0.15954,0.030876,0.31742,-0.87051,0.21663,-0.30207,0.12983,0.19678,0.79039,-0.56554,-0.82879,-0.19614,-0.82778,-0.6898,-1.0809,1.8179,-0.26586,0.065575,-0.1093,-0.66603,-1.1031,0.12164,-0.29828,-0.0003941,-0.72735,0.905,-0.74758,0.76054,-0.4513,0.10696,0.8653,-0.43969,-0.47675,-0.91554,0.9724
Indonesia,0.50731,-0.87783,0.24249,1.3903,0.022146,-0.81473,0.75249,-0.15269,0.59991,0.50067,0.71337,-0.52647,0.21689,-0.037839,0.68195,0.64152,0.066501,0.36262,0.1056,0.85045,0.063619,0.29074,0.0071922,-0.08543,0.46046,-1.177,0.59601,-0.43192,-1.087,0.20318,2.6747,0.3077,0.14464,0.37428,-0.08624,-0.19423,-0.25764,-0.96367,-0.57695,-0.3511,-1.3974,0.32864,0.903,-1.1811,0.23645,1.0362,-0.58633,0.30987,0.32511,-1.2101
Pakistan,0.093731,-0.76398,0.33058,0.56553,0.34119,-0.43292,0.47741,0.2661,1.1704,-0.54634,-0.16965,-0.50994,-0.86457,-0.67518,-0.38377,1.1203,0.62431,0.065409,-0.12632,1.3,0.24576,1.0203,0.9235,0.41756,0.29078,-2.083,0.4507,-0.44789,-0.3796,0.48155,2.8687,0.56244,-0.087388,0.57662,0.97655,0.45718,-0.16975,-0.43693,-1.5763,0.19571,-0.52565,0.66193,-0.13605,-0.52883,0.37579,1.0104,-0.7011,1.2532,-0.10438,-1.348
Nigeria,-0.1002,-0.71776,-0.065878,1.1664,0.088241,-0.70581,0.14715,0.41536,1.3404,0.43015,0.85976,-0.31783,0.099693,-0.72363,0.6767,0.29136,0.41531,0.19075,-0.21264,0.49955,-0.12571,0.1804,0.39592,0.1831,-0.24054,-1.1642,0.72876,-0.54726,-0.6379,0.67629,1.9417,0.64861,-0.49602,0.37441,0.18206,0.063983,-0.70922,-0.46241,-0.09928,0.14539,-0.64004,0.92863,0.14358,-0.93657,-0.32357,1.4889,-0.85265,0.76541,-0.19807,-1.5821
Brazil,0.014697,-0.4585,-0.049365,1.1068,-0.34228,-0.99984,-0.59754,-0.021446,0.070466,1.0038,1.3814,-0.15615,-0.04429,-0.64585,1.2024,-0.35262,0.094759,-0.26553,-0.16363,-0.29023,-0.90477,-0.64781,-0.23873,0.42291,0.019089,-1.194,0.68176,-0.019443,-0.42695,0.073599,2.5519,0.61103,-0.57614,0.053781,-0.22584,-0.67029,-0.91667,0.71881,0.012405,-0.55416,-0.52862,0.33267,1.2562,-1.3472,-0.43544,1.2502,-0.12576,-0.060888,0.79752,-1.1951
Bangladesh,-0.78462,-0.88502,-0.15896,0.63827,-0.24711,-0.75367,0.50816,0.24133,1.554,-0.26346,0.25973,-0.38475,0.26602,-0.38599,-0.066866,0.14641,0.23601,0.468,0.077611,1.153,0.15401,0.55081,0.77775,0.31938,0.34146,-0.72249,0.52206,-0.66022,-0.95038,0.83269,2.6301,0.76556,0.18253,1.1606,0.22053,0.83714,0.24177,-0.48216,-0.40501,0.076339,-0.8855,0.3561,0.025617,-0.67388,0.091004,1.1873,-1.1243,0.37364,0.94965,-1.6012
Russia,0.32097,1.0144,0.50412,0.42314,-0.017368,0.42165,0.78563,1.2075,-0.82915,-0.12545,0.72666,-0.68589,-0.16918,0.89959,0.43864,0.24371,0.049558,-0.23954,0.35105,0.69405,0.47494,-0.80122,-0.11579,-0.33322,0.35565,-2.5386,0.37923,0.052781,0.54565,0.13112,2.7354,0.45458,-0.12994,-0.10698,-1.2169,-0.57424,-0.7642,1.2824,-0.95928,0.0053543,0.20225,-0.31514,2.1783,-1.7204,0.11169,0.62552,-0.87655,0.93488,-0.75778,-0.49446
Ethiopia,0.70239,-0.24528,-0.059709,0.46773,-0.44004,0.038748,0.30878,-0.043989,1.1242,-0.77292,0.60161,-0.77001,-0.16113,-1.6514,0.59773,0.40098,0.37838,0.090369,0.54672,1.1767,-0.8561,0.52485,0.73324,0.22767,0.72468,-0.90375,0.47506,-0.4134,-0.71348,0.78031,1.6549,0.5121,-1.2976,1.2029,-0.28644,0.013201,-0.87789,0.25123,-1.0525,0.48722,0.0051964,0.39018,0.42821,-1.0567,-0.29918,0.25656,-0.34637,0.71131,-0.53657,-1.9569
